Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Marginable Securities,Non-Marginable Securities
"Margin Account -3058",5478.40,379.92,5.84,-42.03,-.65,494.59,2633.16,789.95


View Summary - Dividend
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Qty #,Desc,

Symbol,Last Price $,Value $,Change $,Change %,% of Portfolio,Qty #,Cost/Share,Day's Gain $,Total Gain $,Total Gain %,YTD Gain %,Dividend Yield %,Est. Annual Income,Ex-Div Date,Dividend Pay Date,Dividend
SCHD,27.485,691.1928,-0.23,-0.85,12.6167,25.1480,26.3198,-5.9098,29.3028,4.4271,4.4300,3.6977,26.1700,06/25/2025,06/30/2025,.2602
     04/10/2025,27.485,54.9700,-0.23,-0.85,1.0034,2.0000,24.9000,-.4700,5.1700,10.3815,10.3815,3.6977,2.0800,06/25/2025,06/30/2025,.2602
     04/21/2025,27.485,54.9700,-0.23,-0.85,1.0034,2.0000,24.8300,-.4700,5.3100,10.6927,10.6927,3.6977,2.0800,06/25/2025,06/30/2025,.2602
     06/05/2025,27.485,82.4550,-0.23,-0.85,1.5051,3.0000,26.2400,-.7050,3.7350,4.7447,4.7447,3.6977,3.1200,06/25/2025,06/30/2025,.2602
     06/17/2025,27.485,82.4550,-0.23,-0.85,1.5051,3.0000,26.7100,-.7050,2.3250,2.9015,2.9015,3.6977,3.1200,06/25/2025,06/30/2025,.2602
     06/20/2025,27.485,54.9700,-0.23,-0.85,1.0034,2.0000,26.7600,-.4700,1.4500,2.7093,2.7093,3.6977,2.0800,06/25/2025,06/30/2025,.2602
     06/20/2025,27.485,82.4550,-0.23,-0.85,1.5051,3.0000,26.7500,-.7050,2.2050,2.7477,2.7477,3.6977,3.1200,06/25/2025,06/30/2025,.2602
     06/25/2025,27.485,82.4550,-0.23,-0.85,1.5051,3.0000,26.2300,-.7050,3.7650,4.7846,4.7846,3.6977,3.1200,06/25/2025,06/30/2025,.2602
     06/25/2025,27.485,54.9700,-0.23,-0.85,1.0034,2.0000,26.2200,-.4700,2.5300,4.8246,4.8246,3.6977,2.0800,06/25/2025,06/30/2025,.2602
     06/25/2025,27.485,54.9700,-0.23,-0.85,1.0034,2.0000,26.2150,-.4700,2.5400,4.8446,4.8446,3.6977,2.0800,06/25/2025,06/30/2025,.2602
     06/30/2025,27.485,4.0678,-0.23,-0.85,.0743,.1480,26.3514,-.0348,.1678,4.3021,4.3021,3.6977,.1500,06/25/2025,06/30/2025,.2602
     09/08/2025,27.485,82.4550,-0.23,-0.85,1.5051,3.0000,27.4500,-.7050,.1050,.1275,.1275,3.6977,3.1200,06/25/2025,06/30/2025,.2602
T,29.59,416.6568,0.10,0.34,7.6054,14.0810,27.5059,1.2981,29.3468,7.5771,7.5800,3.7640,15.6300,07/10/2025,08/01/2025,.2775
     04/21/2025,29.59,88.7700,0.10,0.34,1.6204,3.0000,26.2500,.3000,10.0200,12.7238,12.7238,3.7640,3.3300,07/10/2025,08/01/2025,.2775
     06/17/2025,29.59,29.5900,0.10,0.34,.5401,1.0000,27.6600,.1000,1.9300,6.9776,6.9776,3.7640,1.1100,07/10/2025,08/01/2025,.2775
     06/20/2025,29.59,29.5900,0.10,0.34,.5401,1.0000,28.0000,.1000,1.5900,5.6786,5.6786,3.7640,1.1100,07/10/2025,08/01/2025,.2775
     06/20/2025,29.59,29.5900,0.10,0.34,.5401,1.0000,27.8000,.1000,1.7900,6.4388,6.4388,3.7640,1.1100,07/10/2025,08/01/2025,.2775
     06/25/2025,29.59,59.1800,0.10,0.34,1.0802,2.0000,27.9100,.2000,3.3600,6.0193,6.0193,3.7640,2.2200,07/10/2025,08/01/2025,.2775
